"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"dist"
"11747945"	-4.30237621571283	2.9554430288122	-1.43023474279014	0.629839209033921	0.331529140910131	0.156440834590886	0.0366369732440215	0.007105003991782	0.00229186247332636	0.00216550813435443	0.00072132322252566	0.000201184845833074	7.47218352166561
"11747901"	-4.64365115457105	2.22301634559028	-3.09112090560782	0.831235116342902	0.330591129442355	0.0757630299392354	0.146488660350637	0.0105930198718516	0.00266987518606286	0.00122518013756975	0.00336935872756904	0.000350415769971192	8.0763287478584
"11747831"	-3.89789227177186	3.56153414177708	-2.85413742119018	-0.739169416550297	0.257280820511297	0.214793913983141	0.137942314086686	0.00925200218834244	0.00188118475128394	0.00314476979377258	0.00287253299948847	0.000277091917111904	7.68468598830647
"11747823"	-4.42136575544679	3.72130260328767	-2.2100766639105	0.245091041550683	0.322457077709453	0.228427823085907	0.0805700633735358	0.000990863663091719	0.00242038622128194	0.00343324351931406	0.00172238385099969	3.04642684231402e-05	7.78610912627463
"11748403"	-4.65343258276653	3.86762845262204	-1.76800029263788	0.0844681984101977	0.40621771440401	0.28060893693713	0.0586376653484462	0.00013384386469422	0.00268113472998218	0.00370854991228356	0.00110224955513836	3.61844804499175e-06	7.30119583301073
"11748507"	-4.76693694949094	3.73475534744339	-1.5801204020616	0.659507184637321	0.430925259599119	0.264513262441139	0.0473482026477093	0.00824825727359553	0.00281352384975912	0.00345811117199662	0.000880431613500869	0.000220584473807192	7.26170215116909
"11748387"	-5.08958346142548	3.56435504058328	-1.96036533150746	0.908061762403618	0.464797743084919	0.227961467218431	0.0689562374694522	0.0147955224814267	0.00320727549868079	0.0031497533711605	0.00135515600587526	0.00041818327086106	7.46535105805291
"11748409"	-4.43075449776499	3.6983899319564	-2.0428932038363	0.0363113818359857	0.344411921891494	0.239965163577299	0.073217370796194	2.31317428101693e-05	0.00243067648512437	0.00339109558740307	0.00147165697926037	6.68684769147417e-07	7.54985479319501
"11748391"	-4.79337350810809	3.65188404360562	-1.29311086871515	0.731139326373119	0.402530819265161	0.233641805088751	0.0292946368460789	0.00936519626252323	0.00284481695792429	0.00330634824121447	0.000589639801225606	0.000271104150827063	7.55512584450545
"11748505"	-4.79476628556155	3.65386537848651	-1.30158713460289	0.725701724456233	0.40004876049639	0.232318143222342	0.0294798003333269	0.0091641956692872	0.00284647039575701	0.0033099369423578	0.000597395245044832	0.000267086654771894	7.58072911921661
"11748379"	-5.22376840753841	3.4602025283622	-2.19398831007002	0.688757763427008	0.418336702502821	0.183552869397794	0.0737949696147635	0.00727262432050868	0.00337862206932105	0.00296836753919655	0.0016973987796464	0.000240585191802804	8.07645783578536
"11748381"	-5.18477951693288	3.47848278069558	-2.10145383209109	0.690404536966428	0.418322818813503	0.188291487126668	0.0687211907861929	0.00741751175362627	0.00332837591711213	0.00299981416211606	0.0015572379304733	0.000241737013183071	8.01631021347556
"11748373"	-5.23502811014249	3.10986216987659	-2.82594543493326	0.754410026048707	0.406955229426915	0.14361204956895	0.118586743061364	0.00845129965399392	0.00339320283796693	0.00239771145534135	0.00281606588273059	0.000288636188862633	8.20626809802583
