"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"coord.Dim.5"	"cor.Dim.1"	"cor.Dim.2"	"cor.Dim.3"	"cor.Dim.4"	"cor.Dim.5"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"cos2.Dim.5"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"contrib.Dim.5"
"pctglactilcrsws"	-0.124909650525922	0.44590479988902	0.48025393876889	0.741103151420587	-0.0598926044497629	-0.124909650525917	0.445904799889002	0.480253938768871	0.741103151420558	-0.0598926044497605	0.0156024207945066	0.198831090564051	0.230643845703014	0.549233881045482	0.00358712406777547	0.119881290511557	3.98884665919107	5.35560118396524	15.1997357076788	0.129168797910481
"pctcolluvsedws"	-0.697197484025642	0.384838661970081	-0.442112404025632	-0.0565680725218004	-0.242340181630598	-0.697197484025399	0.384838661969947	-0.442112404025477	-0.0565680725217806	-0.242340181630513	0.486084331731346	0.148100795746819	0.195463377793187	0.00319994682882943	0.0587287636327102	3.73483177725565	2.97112168254341	4.538702926761	0.0885567110031121	2.11476482493536
"sio2ws"	0.467998043270413	-0.0814209228861393	0.261951110627433	-0.100518579988034	-0.540124615437642	0.467998043270379	-0.0814209228861334	0.261951110627414	-0.100518579988027	-0.540124615437603	0.219022168504903	0.00662936668362968	0.0686183843589357	0.0101039849228094	0.291734600201618	1.68285809983114	0.132994930891012	1.59333408352772	0.279622043943729	10.505075069876
"k2ows"	0.194907756197634	-0.392586161512846	0.351965025036213	-0.0281768447507641	-0.458256792261554	0.194907756197593	-0.392586161512763	0.351965025036138	-0.0281768447507581	-0.458256792261456	0.0379890334259804	0.154123894211325	0.12387937884869	0.000793934580108325	0.20999928765376	0.291888958282566	3.09195397350865	2.87650661568239	0.0219716885707536	7.56186712134669
"clayws"	-0.475128577539398	-0.17713175876779	-0.202722756406886	0.220974437910185	0.566085111065531	-0.475128577539409	-0.177131758767794	-0.20272275640689	0.22097443791019	0.566085111065545	0.225747165194622	0.0313756599641721	0.0410965159652074	0.0488297022097244	0.32045235297009	1.73452965083354	0.6294422872849	0.954270203435161	1.35133427468018	11.5391730084194
"pcthydricws"	0.107541487512512	0.0487157065392377	-0.0130565612817099	0.00135358885751791	0.025588490397207	0.107541487512518	0.0487157065392404	-0.0130565612817106	0.00135358885751799	0.0255884903972084	0.011565171536405	0.00237322006361739	0.000170473792503064	1.83220279519686e-06	0.000654770840808026	0.0888610624615151	0.0476103153456988	0.00395843922122197	5.07051717145452e-05	0.0235776518503416
"pcteolcrsws"	0.103904059671021	0.10600022293461	0.0804065847507844	-0.11208210518101	-0.0362526458609118	0.103904059671021	0.10600022293461	0.0804065847507843	-0.11208210518101	-0.0362526458609118	0.0107960536161191	0.011236047262187	0.00646521887128505	0.0125623983018069	0.00131425433191668	0.0829515404678682	0.225411777691007	0.150123814212804	0.347657237893945	0.0473250015875762
"hydrlcondws"	0.719977304594242	0.203887588924262	0.0917568201442449	-0.147301712899229	0.108998766453734	0.719977304594232	0.203887588924259	0.0917568201442435	-0.147301712899226	0.108998766453733	0.518367319130775	0.0415701489173475	0.00841931404298305	0.0216977946230461	0.0118807310884353	3.98287829785298	0.833958860058725	0.195498336924338	0.600474142421793	0.427813402602066
"runoffws"	-0.0597742472514282	0.429141601982625	-0.259527076774633	0.000105722450911017	-0.225035154774317	-0.0597742472514352	0.429141601982675	-0.259527076774663	0.00010572245091103	-0.225035154774344	0.00357296063447571	0.184162514552257	0.067354303579202	1.11772366266351e-08	0.0506408208843128	0.027452863722187	3.69457326233961	1.56398184783259	3.0932367526853e-07	1.82352598773677
"pctglaclakecrsws"	-0.124911171005522	0.445910579480282	0.480261498940787	0.74109464013179	-0.0598888987135362	-0.124911171005542	0.445910579480352	0.480261498940861	0.741094640131905	-0.0598888987135455	0.0156028006419757	0.198836244892503	0.230651107364923	0.549221265632237	0.00358668018912131	0.119884209071738	3.98895006266514	5.3557698013611	15.1993865832766	0.129152814278113
