"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"coord.Dim.5"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"cos2.Dim.5"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"contrib.Dim.5"	"dist"
"14363548"	-7.44597088946194	4.78963364231192	-0.272922217639042	-3.01333314852618	-0.27688777753567	0.613525338674394	0.253860088513095	0.000824266441849112	0.100481042932068	0.000848393644977803	0.0307132397400777	0.0331811303715012	0.000124700352189167	0.0181174283977809	0.000199040901384935	9.50615917571758
"14363544"	-7.57496145221039	4.62734886356067	-0.333998051682628	-2.9294809536132	-0.383666410357959	0.644732997183237	0.240593300210863	0.00125344969914879	0.0964273875905314	0.00165396608928822	0.0317865809134132	0.0309707035736991	0.00018675737626242	0.0171231480952287	0.000382157437790894	9.43388283588449
"14363556"	-7.44586010177375	4.78977661100445	-0.273035600269495	-3.01325254485667	-0.275605259461194	0.613524585817487	0.253882487374481	0.000824974986472308	0.100478534167378	0.000840576470205904	0.0307123257898181	0.0331831112886158	0.000124803984579305	0.0181164591643057	0.000197201294347462	9.50602356716267
"14363456"	-7.2006256329161	3.66480019716562	-0.881338907438829	-2.06541904325765	-0.683273256270762	0.701782786507087	0.181787012096949	0.0105135197026584	0.0577402421766026	0.00631903982207248	0.0287225785679197	0.0194261702223019	0.00130039647245693	0.00851174509636315	0.00121205856255447	8.59545510660823
"14362982"	-6.95956520031654	3.97297833470729	-0.769938906447624	-2.22355034684991	-0.481994456644316	0.645828175213392	0.210467559746996	0.00790433437668356	0.0659244791101507	0.00309768219230622	0.0268316374756035	0.0228306869557412	0.000992435815343812	0.0098649795711243	0.000603140992015567	8.66011409808919
"14363540"	-7.13308882369938	3.75095471459444	-0.851748850358549	-2.10959956727273	-0.626723617733455	0.691777647704492	0.191291161001459	0.00986357550172805	0.0605077935691036	0.00534027206944776	0.0281863101157009	0.0203502724303419	0.00121454331846576	0.00887978214024194	0.00101973395648814	8.57618951509492
"14362944"	-7.15655777307354	3.64275328436074	-0.899059178849255	-2.03599532462384	-0.748405051414703	0.699019764534109	0.181109240428537	0.0110320863083809	0.0565763134366272	0.00764459553730628	0.0283720897476417	0.0191931431533217	0.001353213917035	0.00827095785963222	0.00145414655663604	8.55971793655492
"14362904"	-7.00661236729122	3.50935760529873	-0.852798651817217	-1.96135722148258	-0.793298055373844	0.689894356172328	0.173069946758354	0.0102202005900984	0.054060468753831	0.0088438056264295	0.027195631285423	0.0178131955796484	0.00121753907267043	0.00767565865601262	0.00163383252860362	8.43561587140202
"14362882"	-7.03177279844768	3.47466603936558	-0.8635929168947	-1.94432745871129	-0.82331343408991	0.6937952123981	0.169405605976797	0.0104645313171211	0.0530445119372642	0.0095111283535439	0.0273912985594688	0.0174627535471703	0.00124855604113647	0.007542947316787	0.00175980749390729	8.44207450391381
"14362874"	-6.91909405415869	3.61570276036584	-0.810354344298138	-2.01736549986113	-0.732816527246797	0.670953242792001	0.183222679222389	0.0092033029309134	0.0570378263561021	0.00752634806146867	0.026520483052482	0.0189091508833395	0.00109935973491018	0.00812028803217195	0.0013942006145372	8.44701190132976
"14362868"	-7.05943454889743	3.43717553373908	-0.876153960808965	-1.92566078991376	-0.8517094264119	0.69736790205997	0.165320056695954	0.0107419463558795	0.0518897641685009	0.0101509112279803	0.0276072274862751	0.0170879517553571	0.0012851409263486	0.00739880923984554	0.00188329202235842	8.45354636549291
"14362860"	-6.81957429070127	3.73780707892039	-0.763782089965405	-2.08095575840934	-0.664830317338871	0.640815656037155	0.192509580813222	0.0080381762507862	0.0596683843005375	0.00609032144970714	0.0257630627596533	0.0202078611918557	0.000976627249633961	0.00864028264567453	0.00114750976638319	8.51904099252419
"14362852"	-6.98686529371313	3.52161159690054	-0.845537041508527	-1.9680661865418	-0.812617825433891	0.686445342894698	0.174391026232604	0.010053250373814	0.0544653905524611	0.00928568425346007	0.0270425537839756	0.0179378131729513	0.00119689257587366	0.00772825876128939	0.00171438140840271	8.43294734644351
"14362850"	-6.95873462335025	3.55641530333352	-0.834169100718373	-1.98518041353998	-0.800159856225871	0.680390740882344	0.177714468187499	0.00977700962901898	0.0553729688240403	0.00899603971154277	0.0268252335093822	0.0182941201210161	0.00116492534554039	0.00786325244530366	0.00166221913430338	8.43628178110806
"14362836"	-7.03215435512029	3.46589726107669	-0.868729228731319	-1.93843724950136	-0.864150703390671	0.693293117849306	0.16841139335754	0.0105805676134914	0.0526797363492043	0.0104693344743233	0.0273942712426287	0.0173747256363885	0.00126345205052024	0.00749731483918242	0.00193871394665342	8.44558914491962
"14362922"	-6.85323647102717	3.35965319116027	-2.29522438386021	-1.17385918280499	-1.04753681602729	0.671872896887086	0.161467300444008	0.0753608842309988	0.0197118638444455	0.0156976368543271	0.0260180291919216	0.0163258380011136	0.00881942345424004	0.00274937676887796	0.00284887470800267	8.36088319755271
"14362924"	-6.86193295855947	3.3863694234662	-2.31847568493802	-1.17642891876365	-1.07771033749165	0.669446513069862	0.163039040460172	0.0764236953757512	0.0196767934098193	0.016513040262763	0.0260841027991664	0.0165865191278912	0.00899901525908226	0.00276142745733826	0.00301535782580992	8.38665018871743
